id,word,SentenceRole,WordRole,start,end,sentence
34,boy,non-restrictive,nsubj,0.147,0.441,The boy will move the radio
34,will,non-restrictive,aux,0.63,0.756,The boy will move the radio
34,move,non-restrictive,ROOT,0.861,1.113,The boy will move the radio
34,the,non-restrictive,det,1.197,1.26,The boy will move the radio
34,radio,non-restrictive,dobj,1.407,2.835,The boy will move the radio
35,The,restrictive,det,0.021,0.063,The girl will apply the mascara
35,girl,restrictive,nsubj,0.147,0.483,The girl will apply the mascara
35,will,restrictive,aux,0.63,0.756,The girl will apply the mascara
35,apply,restrictive,ROOT,0.819,1.281,The girl will apply the mascara
35,the,restrictive,det,1.386,1.449,The girl will apply the mascara
