onset_time,offset_time,duration_s,subject_id
723.35712,723.51794,0.16081999999994423,subject-14
727.26221,727.44983,0.1876200000000381,subject-14
732.12524,732.26556,0.14032000000008793,subject-14
732.4668,732.65424,0.1874399999999241,subject-14
734.81122,735.01886,0.2076399999999694,subject-14
738.22717,738.32111,0.09393999999997504,subject-14
738.64215,738.8233,0.18115000000000236,subject-14
744.02802,744.14856,0.12054000000000542,subject-14
744.48322,744.66443,0.18121000000007825,subject-14
746.40588,746.58679,0.18090999999992619,subject-14
755.65619,755.80414,0.14794999999992342,subject-14
758.12793,758.32855,0.20061999999995805,subject-14
759.71539,759.88281,0.1674199999999928,subject-14
761.10187,761.30286,0.20099000000004708,subject-14
767.27057,767.46527,0.19470000000001164,subject-14
767.88055,768.11499,0.23444000000006326,subject-14
774.63208,774.85321,0.22113000000001648,subject-14
775.67029,775.89154,0.22124999999994088,subject-14
777.45239,777.59967,0.1472799999999097,subject-14
778.59778,778.83228,0.23450000000002547,subject-14
779.72308,779.88385,0.16077000000007047,subject-14
421.83963,421.99451,0.15487999999999147,subject-15
554.61316,555.00873,0.3955700000000206,subject-15
562.26263,562.56305,0.300420000000031,subject-15
1234.17554,1234.28943,0.11389000000008309,subject-16
1251.8656,1252.14026,0.2746599999998125,subject-16
1258.09497,1258.28906,0.19408999999996013,subject-16
1285.80554,1286.05347,0.24792999999999665,subject-16
1315.55908,1315.73999,0.18091000000003987,subject-16
1323.29517,1323.55688,0.26170999999999367,subject-16
1329.73242,1329.93335,0.2009299999999712,subject-16
1349.27136,1349.33167,0.06031000000007225,subject-16
1350.56409,1350.83191,0.2678200000000288,subject-16
1358.52832,1358.60168,0.07336000000009335,subject-16
1363.45813,1363.76624,0.3081099999999424,subject-16
1365.94336,1366.13721,0.19385000000011132,subject-16
1373.79346,1374.09497,0.3015100000000075,subject-16
1375.32739,1375.54846,0.22107000000005428,subject-16
1377.08911,1377.22974,0.14063000000010106,subject-16
1398.44275,1398.67078,0.22802999999998974,subject-16
1414.14355,1414.42493,0.28137999999989916,subject-16
1440.99011,1441.17102,0.18091000000003987,subject-16
1448.49878,1448.55884,0.06006000000002132,subject-16
1449.77832,1450.01941,0.24109000000021297,subject-16
1452.0824,1452.31006,0.2276600000000144,subject-16
1466.31628,1466.55737,0.2410899999999856,subject-16
1469.85962,1469.9198,0.06017999999994572,subject-16
1482.86755,1482.93408,0.06653000000005704,subject-16
1483.47021,1483.71118,0.2409700000000612,subject-16
1485.08459,1485.35242,0.26783000000000357,subject-16
1494.30811,1494.48193,0.17381999999997788,subject-16
1513.49866,1513.77319,0.2745300000001407,subject-16
1515.96362,1516.16455,0.2009299999999712,subject-16
1516.78711,1517.00232,0.21521000000007007,subject-16
1517.79883,1517.99377,0.19494000000008782,subject-16
1523.45874,1523.52502,0.06628000000000611,subject-16
1533.10425,1533.34534,0.2410899999999856,subject-16
1535.09338,1535.29419,0.20081000000004678,subject-16
1540.3313,1540.45203,0.12072999999986678,subject-16
1540.55933,1540.61963,0.060299999999870124,subject-16
1565.22876,1565.45667,0.22791000000006534,subject-16
1570.90234,1571.20349,0.3011500000000069,subject-16
1571.65918,1571.71948,0.060299999999870124,subject-16
1578.51819,1578.7594,0.24120999999991,subject-16
1579.63013,1579.72388,0.09375,subject-16
1581.80017,1581.86707,0.06690000000003238,subject-16
1603.76355,1603.83081,0.06726000000003296,subject-16
1604.02502,1604.32629,0.3012699999999313,subject-16
1604.88245,1604.95569,0.07323999999994157,subject-16
1605.15039,1605.21741,0.06701999999995678,subject-16
1614.52759,1614.78235,0.25476000000003296,subject-16
1622.9342,1623.04126,0.10706000000004678,subject-16
1623.08826,1623.14844,0.06017999999994572,subject-16
