subject_id,trial,sentence_id,condition,sentence,target_position,n_saccades_detected,n_saccades_after_verb_onset,first_saccade_latency_s,first_saccade_duration_s,first_saccade_peak_vel_deg_s,first_saccade_landing_aoi,first_saccade_is_target,first_saccade_is_object,rawsample_prop_pos1,saccade_prop_pos1,rawsample_prop_pos2,saccade_prop_pos2,rawsample_prop_pos3,saccade_prop_pos3,rawsample_prop_pos4,saccade_prop_pos4,prop_target_critical_window,saccade_prop_target,no_object_gaze_critical_window,n_saccades_landed_critical_window,target_object,first_saccade_chosen_object,critical_window_favors_target,methods_agree
subject-17,26,4,non-restrictive,The boy will throw the ball,1,6,3,0.1246,0.0537,264.9,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,ball,acorns,False,True
subject-17,27,45,restrictive,The chef will grate the carrot,2,14,6,0.2372,0.0538,249.1,elsewhere,False,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,1,carrot,elsewhere,False,True
subject-17,28,42,non-restrictive,The woman will wash the shirt,3,10,4,0.3364,0.02,174.1,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,shirt,elsewhere,False,True
subject-17,29,46,non-restrictive,The musician will move the violin,3,20,5,0.7288,0.0268,237.6,pos2,False,True,0.0,,0.0,,1.0,,0.0,,1.0,,False,0,violin,stand,True,False
subject-17,30,25,restrictive,The man will paint the canvas,2,19,6,0.0124,0.0332,208.9,subject,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,canvas,subject,False,True
subject-17,31,17,restrictive,The man will chop the wood,2,11,4,0.0787,0.02,237.9,pos2,True,True,0.0,0.0,0.7271,0.0,0.2729,1.0,0.0,0.0,0.7271,0.0,False,1,wood,wood,True,True
subject-17,32,35,restrictive,The girl will apply the mascara,4,15,6,0.092,0.0267,183.3,subject,False,False,0.3049,0.0,0.6951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,mascara,subject,False,True
subject-17,38,21,restrictive,The woman will water the flower,2,12,4,0.125,0.0535,322.8,subject,False,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,2,flower,subject,False,True
subject-17,41,13,restrictive,The man will smoke the cigarettes,2,15,7,0.1781,0.0336,242.8,pos2,True,True,0.0,,1.0,,0.0,,0.0,,1.0,,False,1,cigarettes,cigarettes,True,True
subject-17,45,0,non-restrictive,The boy will move the cake,1,16,5,0.4342,0.0405,358.2,pos2,False,True,0.8418,0.0,0.1582,1.0,0.0,0.0,0.0,0.0,0.8418,0.0,False,1,cake,toy-car,True,False
subject-17,46,26,non-restrictive,The woman will blow grab the candle,3,19,5,0.162,0.0268,227.9,elsewhere,False,False,0.0,,0.0,,0.0,,1.0,,0.0,,False,1,candle,elsewhere,False,True
subject-17,47,43,restrictive,The man will lock the safe,4,13,4,0.0583,0.0402,244.4,pos2,False,True,0.0,,0.0,,0.0,,1.0,,1.0,,False,2,safe,bolt,True,False
subject-17,49,16,non-restrictive,The woman will  carry the dress,1,12,6,0.1704,0.047,260.4,elsewhere,False,False,0.0,,0.3314,,0.0,,0.6686,,0.0,,False,1,dress,elsewhere,False,True
subject-18,7,28,restrictive,The cat will drink the milk,2,8,2,0.3581,0.0603,248.5,elsewhere,False,False,0.0,,1.0,,0.0,,0.0,,1.0,,False,1,milk,elsewhere,True,False
subject-18,13,49,non-restrictive,The man will pick up the stamp,3,10,3,0.6422,0.0266,131.2,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,1.0,,False,1,stamp,elsewhere,True,False
subject-18,25,29,non-restrictive,The grandmother will eadturn the newspaper,3,12,3,0.3219,0.0471,301.8,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,1.0,,False,1,newspaper,elsewhere,True,False
subject-19,6,33,restrictive,The boy will unzip the suitcase,3,8,3,0.6058,0.0335,267.2,subject,False,False,0.0,,0.0,,0.3961,,0.6039,,0.3961,,False,1,suitcase,subject,True,False
subject-19,7,37,restrictive,The boy will peel the banana,3,5,1,0.9378,0.0736,294.7,pos3,True,True,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,banana,banana,False,False
subject-19,8,44,non-restrictive,The baker will inspect the dough,2,4,1,0.3527,0.0805,264.7,pos2,True,True,0.0,,1.0,,0.0,,0.0,,1.0,,False,0,dough,dough,True,True
subject-19,9,5,restrictive,The hiker will climb the mountain,3,11,1,0.3416,0.054,500.0,pos3,True,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,False,1,mountain,mountain,True,True
subject-19,17,46,non-restrictive,The musician will move the violin,4,6,3,0.3401,0.0535,401.9,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,violin,elsewhere,False,True
subject-19,21,41,restrictive,The boy will squeeze the orange,3,4,2,0.6403,0.0336,271.5,subject,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,orange,subject,False,True
subject-19,25,15,restrictive,The businessman will wear the hat,1,8,3,1.0581,0.0538,295.0,subject,False,False,1.0,,0.0,,0.0,,0.0,,1.0,,False,0,hat,subject,True,False
subject-19,26,13,restrictive,The man will smoke the cigarettes,3,6,1,0.4994,0.0673,529.2,pos3,True,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,False,1,cigarettes,cigarettes,True,True
subject-19,27,12,non-restrictive,The man will watch the boat,2,9,5,0.4674,0.0535,418.6,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,boat,elsewhere,False,True
subject-19,29,26,non-restrictive,The woman will blow grab the candle,4,7,3,0.4433,0.0536,406.9,subject,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,candle,subject,False,True
subject-19,30,25,restrictive,The man will paint the canvas,3,5,3,0.6085,0.0539,358.1,subject,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,canvas,subject,False,True
subject-19,31,38,non-restrictive,The woman will carry the apron,4,8,3,0.03,0.0535,345.1,elsewhere,False,False,0.0,0.0,0.0,0.0,0.9673,1.0,0.0327,0.0,0.0327,0.0,False,1,apron,elsewhere,False,True
subject-19,33,2,non-restrictive,The policeman will search the man,4,6,2,0.8569,0.0335,236.0,pos3,False,True,0.0,,1.0,,0.0,,0.0,,0.0,,False,0,man,dustbin,False,True
subject-19,42,24,non-restrictive,The girl will lift the rabbit,2,4,2,0.697,0.0534,273.6,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,rabbit,elsewhere,False,True
subject-19,44,8,non-restrictive,The woman will dust the piano,2,5,2,0.7989,0.074,316.2,subject,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,piano,subject,False,True
