stimuliId,partID,condition,obj,count_per_obj_per_part
50,2,non-restrictive,envelope,0
16,2,non-restrictive,hat,0
16,2,non-restrictive,wallet,0
16,2,non-restrictive,magnifying-glass,0
16,2,non-restrictive,folder,0
20,2,non-restrictive,bread,0
20,2,non-restrictive,spoon,0
20,2,non-restrictive,spatula,0
20,2,non-restrictive,bowl,0
11,2,restrictive,mirror,0
11,2,restrictive,dog,0
11,2,restrictive,wastebin,0
11,2,restrictive,washing-machine,23
27,2,restrictive,package,0
27,2,restrictive,coin,0
27,2,restrictive,coaster,0
27,2,restrictive,candle,0
1,2,restrictive,ball,0
1,2,restrictive,cake,0
1,2,restrictive,toy-car,0
1,2,restrictive,toy-train,0
3,2,restrictive,car,0
3,2,restrictive,houses,0
3,2,restrictive,dustbin,0
3,2,restrictive,man,0
13,2,restrictive,car,0
13,2,restrictive,boat,0
13,2,restrictive,birds,0
13,2,restrictive,sun,0
29,2,restrictive,sock,0
29,2,restrictive,milk,0
29,2,restrictive,glove,0
29,2,restrictive,nut,0
8,2,non-restrictive,child,0
8,2,non-restrictive,tv-monitor,0
8,2,non-restrictive,toy-bear,0
8,2,non-restrictive,microscope,0
36,2,non-restrictive,mascara,0
36,2,non-restrictive,brush,0
36,2,non-restrictive,mirror,0
36,2,non-restrictive,pot,0
25,2,restrictive,glass,0
25,2,restrictive,rabbit,0
25,2,restrictive,plate,0
25,2,restrictive,potato,0
26,2,non-restrictive,peach,0
26,2,non-restrictive,rope,0
26,2,non-restrictive,canvas,0
26,2,non-restrictive,keyboard,0
34,2,non-restrictive,box,0
34,2,non-restrictive,gift,0
34,2,non-restrictive,suitcase,0
34,2,non-restrictive,envelope,0
2,2,non-restrictive,chair,0
2,2,non-restrictive,lipstick,0
2,2,non-restrictive,wine,0
2,2,non-restrictive,cheese,0
44,2,non-restrictive,safe,0
44,2,non-restrictive,pan,0
44,2,non-restrictive,bolt,0
44,2,non-restrictive,handle,0
33,2,restrictive,kettle,0
33,2,restrictive,beer,0
33,2,restrictive,mug,0
33,2,restrictive,biscuit,0
15,2,restrictive,bird,0
15,2,restrictive,ball,0
15,2,restrictive,hen,0
15,2,restrictive,dog,0
40,2,non-restrictive,shoelace,0
