stimuliId,condition,obj,count_per_obj_per_part,percentages,countOfNonZeroParticipants,is_target
27,restrictive,coaster,42,0.15384615384615385,3.0,0
27,restrictive,coin,101,0.36996336996337,3.0,0
27,restrictive,package,49,0.1794871794871795,3.0,0
28,non-restrictive,frame,0,0.0,2.0,0
28,non-restrictive,lamp,49,0.4152542372881356,2.0,1
28,non-restrictive,picture,69,0.5847457627118644,2.0,0
28,non-restrictive,switch,0,0.0,2.0,0
28,restrictive,frame,0,0.0,5.0,0
28,restrictive,lamp,201,0.6883561643835616,5.0,1
28,restrictive,picture,42,0.14383561643835616,5.0,0
28,restrictive,switch,49,0.1678082191780822,5.0,0
29,non-restrictive,glove,0,0.0,5.0,0
29,non-restrictive,milk,22,0.18803418803418803,5.0,1
29,non-restrictive,nut,49,0.4188034188034188,5.0,0
29,non-restrictive,sock,46,0.39316239316239315,5.0,0
29,restrictive,glove,12,0.09375,3.0,0
29,restrictive,milk,72,0.5625,3.0,1
29,restrictive,nut,42,0.328125,3.0,0
29,restrictive,sock,2,0.015625,3.0,0
30,non-restrictive,comb,0,0.0,4.0,0
30,non-restrictive,eraser,0,0.0,4.0,0
30,non-restrictive,newspaper,109,0.7622377622377622,4.0,1
30,non-restrictive,tissue,34,0.23776223776223776,4.0,0
30,restrictive,comb,0,0.0,5.0,0
30,restrictive,eraser,60,0.30456852791878175,5.0,0
30,restrictive,newspaper,137,0.6954314720812182,5.0,1
30,restrictive,tissue,0,0.0,5.0,0
31,non-restrictive,cap,35,0.26119402985074625,3.0,0
31,non-restrictive,dice,22,0.16417910447761194,3.0,1
31,non-restrictive,headphones,0,0.0,3.0,0
31,non-restrictive,watch,77,0.5746268656716418,3.0,0
31,restrictive,cap,0,,,0
31,restrictive,dice,0,,,1
31,restrictive,headphones,0,,,0
31,restrictive,watch,0,,,0
32,non-restrictive,bottle,0,0.0,1.0,1
32,non-restrictive,lemon,10,1.0,1.0,0
32,non-restrictive,seed,0,0.0,1.0,0
32,non-restrictive,sponge,0,0.0,1.0,0
32,restrictive,bottle,39,0.13541666666666666,7.0,1
32,restrictive,lemon,66,0.22916666666666666,7.0,0
32,restrictive,seed,71,0.2465277777777778,7.0,0
32,restrictive,sponge,112,0.3888888888888889,7.0,0
33,non-restrictive,beer,12,0.033426183844011144,7.0,1
33,non-restrictive,biscuit,85,0.23676880222841226,7.0,0
33,non-restrictive,kettle,185,0.5153203342618384,7.0,0
33,non-restrictive,mug,77,0.21448467966573817,7.0,0
33,restrictive,beer,56,0.21621621621621623,4.0,1
33,restrictive,biscuit,8,0.03088803088803089,4.0,0
33,restrictive,kettle,66,0.2548262548262548,4.0,0
33,restrictive,mug,129,0.4980694980694981,4.0,0
34,non-restrictive,box,39,0.15918367346938775,3.0,0
34,non-restrictive,envelope,43,0.17551020408163265,3.0,0
34,non-restrictive,gift,162,0.6612244897959184,3.0,0
34,non-restrictive,suitcase,1,0.004081632653061225,3.0,1
34,restrictive,box,81,0.1853546910755149,7.0,0
34,restrictive,envelope,156,0.35697940503432496,7.0,0
34,restrictive,gift,96,0.21967963386727687,7.0,0
34,restrictive,suitcase,104,0.2379862700228833,7.0,1
35,non-restrictive,notebook,0,0.0,5.0,0
35,non-restrictive,pillow,115,0.3463855421686747,5.0,0
35,non-restrictive,puzzle,95,0.286144578313253,5.0,0
35,non-restrictive,radio,122,0.3674698795180723,5.0,1
35,restrictive,notebook,0,0.0,3.0,0
35,restrictive,pillow,0,0.0,3.0,0
35,restrictive,puzzle,143,0.6383928571428571,3.0,0
35,restrictive,radio,81,0.36160714285714285,3.0,1
36,non-restrictive,brush,4,0.028169014084507043,2.0,0
36,non-restrictive,mascara,23,0.1619718309859155,2.0,1
36,non-restrictive,mirror,33,0.2323943661971831,2.0,0
36,non-restrictive,pot,82,0.5774647887323944,2.0,0
36,restrictive,brush,24,0.0781758957654723,5.0,0
