item,condition,object,n_chose,n_participants_engaged,n_participants_total,human_prob,pct_elsewhere
26,non-restrictive,peach,0,0,12.0,,1.0
27,restrictive,candle,0,2,12.0,0.0,0.833333
27,restrictive,coin,0,2,12.0,0.0,0.833333
27,restrictive,package,1,2,12.0,0.5,0.833333
27,restrictive,coaster,1,2,12.0,0.5,0.833333
27,non-restrictive,package,0,1,12.0,0.0,0.916667
27,non-restrictive,coin,0,1,12.0,0.0,0.916667
27,non-restrictive,candle,1,1,12.0,1.0,0.916667
27,non-restrictive,coaster,0,1,12.0,0.0,0.916667
28,restrictive,lamp,1,1,12.0,1.0,0.916667
28,restrictive,switch,0,1,12.0,0.0,0.916667
28,restrictive,picture,0,1,12.0,0.0,0.916667
28,restrictive,frame,0,1,12.0,0.0,0.916667
28,non-restrictive,lamp,0,2,12.0,0.0,0.833333
28,non-restrictive,picture,2,2,12.0,1.0,0.833333
28,non-restrictive,frame,0,2,12.0,0.0,0.833333
28,non-restrictive,switch,0,2,12.0,0.0,0.833333
29,restrictive,milk,3,3,12.0,1.0,0.75
29,restrictive,nut,0,3,12.0,0.0,0.75
29,restrictive,sock,0,3,12.0,0.0,0.75
29,restrictive,glove,0,3,12.0,0.0,0.75
29,non-restrictive,milk,0,2,12.0,0.0,0.833333
29,non-restrictive,glove,0,2,12.0,0.0,0.833333
29,non-restrictive,sock,2,2,12.0,1.0,0.833333
29,non-restrictive,nut,0,2,12.0,0.0,0.833333
30,restrictive,newspaper,2,3,12.0,0.6666666666666666,0.75
30,restrictive,tissue,0,3,12.0,0.0,0.75
30,restrictive,eraser,1,3,12.0,0.3333333333333333,0.75
30,restrictive,comb,0,3,12.0,0.0,0.75
30,non-restrictive,newspaper,0,2,12.0,0.0,0.833333
30,non-restrictive,tissue,2,2,12.0,1.0,0.833333
30,non-restrictive,comb,0,2,12.0,0.0,0.833333
30,non-restrictive,eraser,0,2,12.0,0.0,0.833333
31,restrictive,dice,0,1,12.0,0.0,0.916667
31,restrictive,cap,0,1,12.0,0.0,0.916667
31,restrictive,watch,0,1,12.0,0.0,0.916667
31,restrictive,headphones,1,1,12.0,1.0,0.916667
31,non-restrictive,headphones,0,0,12.0,,1.0
31,non-restrictive,cap,0,0,12.0,,1.0
31,non-restrictive,watch,0,0,12.0,,1.0
31,non-restrictive,dice,0,0,12.0,,1.0
32,restrictive,bottle,0,4,12.0,0.0,0.666667
32,restrictive,lemon,1,4,12.0,0.25,0.666667
32,restrictive,seed,2,4,12.0,0.5,0.666667
32,restrictive,sponge,1,4,12.0,0.25,0.666667
32,non-restrictive,bottle,0,0,12.0,,1.0
32,non-restrictive,seed,0,0,12.0,,1.0
32,non-restrictive,lemon,0,0,12.0,,1.0
32,non-restrictive,sponge,0,0,12.0,,1.0
33,restrictive,beer,0,1,12.0,0.0,0.916667
33,restrictive,kettle,0,1,12.0,0.0,0.916667
33,restrictive,mug,1,1,12.0,1.0,0.916667
33,restrictive,biscuit,0,1,12.0,0.0,0.916667
33,non-restrictive,mug,1,4,12.0,0.25,0.666667
33,non-restrictive,beer,0,4,12.0,0.0,0.666667
33,non-restrictive,kettle,2,4,12.0,0.5,0.666667
33,non-restrictive,biscuit,1,4,12.0,0.25,0.666667
34,restrictive,box,0,2,12.0,0.0,0.833333
34,restrictive,envelope,1,2,12.0,0.5,0.833333
34,restrictive,suitcase,0,2,12.0,0.0,0.833333
34,restrictive,gift,1,2,12.0,0.5,0.833333
34,non-restrictive,box,1,1,12.0,1.0,0.916667
34,non-restrictive,gift,0,1,12.0,0.0,0.916667
34,non-restrictive,envelope,0,1,12.0,0.0,0.916667
34,non-restrictive,suitcase,0,1,12.0,0.0,0.916667
35,restrictive,radio,0,0,,,
35,restrictive,pillow,0,0,,,
35,restrictive,notebook,0,0,,,
35,restrictive,puzzle,0,0,,,
35,non-restrictive,pillow,1,2,12.0,0.5,0.833333
35,non-restrictive,puzzle,0,2,12.0,0.0,0.833333
35,non-restrictive,notebook,0,2,12.0,0.0,0.833333
35,non-restrictive,radio,1,2,12.0,0.5,0.833333
36,restrictive,mirror,0,0,12.0,,1.0
36,restrictive,mascara,0,0,12.0,,1.0
36,restrictive,brush,0,0,12.0,,1.0
36,restrictive,pot,0,0,12.0,,1.0
36,non-restrictive,pot,1,2,12.0,0.5,0.833333
36,non-restrictive,brush,1,2,12.0,0.5,0.833333
36,non-restrictive,mirror,0,2,12.0,0.0,0.833333
36,non-restrictive,mascara,0,2,12.0,0.0,0.833333
37,restrictive,boxes,0,1,12.0,0.0,0.916667
37,restrictive,papers,0,1,12.0,0.0,0.916667
37,restrictive,clips,0,1,12.0,0.0,0.916667
37,restrictive,lego,1,1,12.0,1.0,0.916667
37,non-restrictive,boxes,1,1,12.0,1.0,0.916667
37,non-restrictive,papers,0,1,12.0,0.0,0.916667
37,non-restrictive,clips,0,1,12.0,0.0,0.916667
37,non-restrictive,lego,0,1,12.0,0.0,0.916667
38,restrictive,banana,0,2,12.0,0.0,0.833333
38,restrictive,key,0,2,12.0,0.0,0.833333
38,restrictive,marker,1,2,12.0,0.5,0.833333
38,restrictive,mitten,1,2,12.0,0.5,0.833333
38,non-restrictive,marker,1,1,12.0,1.0,0.916667
38,non-restrictive,key,0,1,12.0,0.0,0.916667
38,non-restrictive,banana,0,1,12.0,0.0,0.916667
38,non-restrictive,mitten,0,1,12.0,0.0,0.916667
39,restrictive,cloth,1,1,12.0,1.0,0.916667
39,restrictive,apron,0,1,12.0,0.0,0.916667
39,restrictive,broom,0,1,12.0,0.0,0.916667
39,restrictive,mop,0,1,12.0,0.0,0.916667
39,non-restrictive,cloth,0,4,12.0,0.0,0.666667
39,non-restrictive,apron,2,4,12.0,0.5,0.666667
39,non-restrictive,broom,2,4,12.0,0.5,0.666667
39,non-restrictive,mop,0,4,12.0,0.0,0.666667
40,restrictive,shoelace,0,1,12.0,0.0,0.916667
40,restrictive,buckle,0,1,12.0,0.0,0.916667
40,restrictive,mat,1,1,12.0,1.0,0.916667
40,restrictive,shampoo,0,1,12.0,0.0,0.916667
40,non-restrictive,mat,1,1,12.0,1.0,0.916667
40,non-restrictive,buckle,0,1,12.0,0.0,0.916667
40,non-restrictive,shampoo,0,1,12.0,0.0,0.916667
40,non-restrictive,shoelace,0,1,12.0,0.0,0.916667
41,restrictive,pin,0,0,12.0,,1.0
41,restrictive,blouse,0,0,12.0,,1.0
41,restrictive,iron,0,0,12.0,,1.0
41,restrictive,toothbrush,0,0,12.0,,1.0
41,non-restrictive,iron,1,2,12.0,0.5,0.833333
41,non-restrictive,pin,0,2,12.0,0.0,0.833333
41,non-restrictive,blouse,1,2,12.0,0.5,0.833333
41,non-restrictive,toothbrush,0,2,12.0,0.0,0.833333
42,restrictive,orange,0,2,12.0,0.0,0.833333
42,restrictive,stone,0,2,12.0,0.0,0.833333
42,restrictive,shell,2,2,12.0,1.0,0.833333
42,restrictive,cone,0,2,12.0,0.0,0.833333
42,non-restrictive,stone,1,1,12.0,1.0,0.916667
42,non-restrictive,orange,0,1,12.0,0.0,0.916667
42,non-restrictive,cone,0,1,12.0,0.0,0.916667
42,non-restrictive,shell,0,1,12.0,0.0,0.916667
43,restrictive,shirt,1,2,12.0,0.5,0.833333
43,restrictive,chalk,0,2,12.0,0.0,0.833333
43,restrictive,apple,1,2,12.0,0.5,0.833333
43,restrictive,ruler,0,2,12.0,0.0,0.833333
43,non-restrictive,shirt,1,2,12.0,0.5,0.833333
43,non-restrictive,apple,1,2,12.0,0.5,0.833333
43,non-restrictive,chalk,0,2,12.0,0.0,0.833333
43,non-restrictive,ruler,0,2,12.0,0.0,0.833333
44,restrictive,safe,0,3,12.0,0.0,0.75
44,restrictive,handle,0,3,12.0,0.0,0.75
44,restrictive,bolt,1,3,12.0,0.3333333333333333,0.75
44,restrictive,pan,2,3,12.0,0.6666666666666666,0.75
44,non-restrictive,pan,0,1,12.0,0.0,0.916667
44,non-restrictive,safe,0,1,12.0,0.0,0.916667
44,non-restrictive,bolt,1,1,12.0,1.0,0.916667
44,non-restrictive,handle,0,1,12.0,0.0,0.916667
45,restrictive,dough,1,1,12.0,1.0,0.916667
45,restrictive,glass,0,1,12.0,0.0,0.916667
45,restrictive,ladle,0,1,12.0,0.0,0.916667
45,restrictive,hammer,0,1,12.0,0.0,0.916667
45,non-restrictive,dough,2,2,12.0,1.0,0.833333
45,non-restrictive,glass,0,2,12.0,0.0,0.833333
45,non-restrictive,hammer,0,2,12.0,0.0,0.833333
45,non-restrictive,ladle,0,2,12.0,0.0,0.833333
46,restrictive,carrot,1,1,12.0,1.0,0.916667
46,restrictive,pot,0,1,12.0,0.0,0.916667
46,restrictive,ladle,0,1,12.0,0.0,0.916667
46,restrictive,peeler,0,1,12.0,0.0,0.916667
46,non-restrictive,pot,0,3,12.0,0.0,0.75
46,non-restrictive,carrot,2,3,12.0,0.6666666666666666,0.75
46,non-restrictive,ladle,1,3,12.0,0.3333333333333333,0.75
46,non-restrictive,peeler,0,3,12.0,0.0,0.75
47,restrictive,violin,1,2,12.0,0.5,0.833333
47,restrictive,stand,0,2,12.0,0.0,0.833333
47,restrictive,bow,1,2,12.0,0.5,0.833333
47,restrictive,gum,0,2,12.0,0.0,0.833333
47,non-restrictive,violin,1,3,12.0,0.3333333333333333,0.75
47,non-restrictive,stand,0,3,12.0,0.0,0.75
47,non-restrictive,bow,2,3,12.0,0.6666666666666666,0.75
47,non-restrictive,gum,0,3,12.0,0.0,0.75
48,restrictive,carpet,0,3,12.0,0.0,0.75
48,restrictive,roller,2,3,12.0,0.6666666666666666,0.75
48,restrictive,dustpan,0,3,12.0,0.0,0.75
48,restrictive,footstool,1,3,12.0,0.3333333333333333,0.75
48,non-restrictive,carpet,0,2,12.0,0.0,0.833333
48,non-restrictive,roller,1,2,12.0,0.5,0.833333
48,non-restrictive,footstool,1,2,12.0,0.5,0.833333
48,non-restrictive,dustpan,0,2,12.0,0.0,0.833333
49,restrictive,balloon,0,0,12.0,,1.0
49,restrictive,flag,0,0,12.0,,1.0
49,restrictive,pump,0,0,12.0,,1.0
49,restrictive,pouch,0,0,12.0,,1.0
49,non-restrictive,flag,1,3,12.0,0.3333333333333333,0.75
49,non-restrictive,pouch,1,3,12.0,0.3333333333333333,0.75
49,non-restrictive,balloon,0,3,12.0,0.0,0.75
49,non-restrictive,pump,1,3,12.0,0.3333333333333333,0.75
50,restrictive,envelope,0,2,12.0,0.0,0.833333
50,restrictive,stamp,2,2,12.0,1.0,0.833333
50,restrictive,scissors,0,2,12.0,0.0,0.833333
50,restrictive,rubber band,0,2,12.0,0.0,0.833333
50,non-restrictive,scissors,0,3,12.0,0.0,0.75
50,non-restrictive,envelope,1,3,12.0,0.3333333333333333,0.75
50,non-restrictive,stamp,2,3,12.0,0.6666666666666666,0.75
50,non-restrictive,rubber band,0,3,12.0,0.0,0.75
