subject_id,trial,sentence_id,condition,target_position,prop_target,prop_distractor_mean,target_advantage,no_object_gaze
subject-3,34,7,restrictive,1,0.0,0.0,0.0,True
subject-3,35,43,restrictive,1,0.0,0.0,0.0,True
subject-3,36,17,restrictive,3,0.0,0.0,0.0,True
subject-3,37,23,restrictive,1,0.0,0.0,0.0,True
subject-3,38,39,restrictive,1,0.0,0.0,0.0,True
subject-3,39,24,non-restrictive,2,0.0,0.0,0.0,True
subject-3,40,45,restrictive,3,1.0,0.0,1.0,False
subject-3,41,44,non-restrictive,2,0.0,0.0,0.0,True
subject-3,42,12,non-restrictive,2,0.0,0.0,0.0,True
subject-3,43,34,non-restrictive,4,0.0,0.0,0.0,True
subject-3,44,35,restrictive,1,1.0,0.0,1.0,False
subject-3,45,40,non-restrictive,2,0.0,0.0,0.0,True
subject-3,46,0,non-restrictive,2,0.0,0.0,0.0,True
subject-3,47,25,restrictive,3,0.0,0.3333,-0.3333,False
subject-3,48,10,non-restrictive,4,1.0,0.0,1.0,False
subject-3,49,19,restrictive,1,0.0,0.0,0.0,True
subject-4,0,16,restrictive,3,0.0,0.0,0.0,True
subject-4,1,27,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-4,2,12,restrictive,3,0.0,0.0,0.0,True
subject-4,3,0,restrictive,3,0.0,0.0,0.0,True
subject-4,4,41,non-restrictive,4,0.0,0.0,0.0,True
subject-4,5,10,restrictive,1,0.9917,0.0028,0.9889,False
subject-4,6,38,restrictive,1,0.8438,0.0521,0.7917,False
subject-4,7,45,non-restrictive,4,0.0,0.0,0.0,True
subject-4,8,30,restrictive,1,0.0,0.3333,-0.3333,False
subject-4,9,23,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-4,10,40,restrictive,3,0.0,0.3333,-0.3333,False
subject-4,11,47,non-restrictive,2,0.0,0.0,0.0,True
subject-4,12,35,non-restrictive,2,0.8712,0.0429,0.8283,False
subject-4,13,18,restrictive,1,0.0,0.3333,-0.3333,False
subject-4,14,15,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-4,15,29,non-restrictive,4,0.0,0.0,0.0,True
subject-4,16,33,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,17,39,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-4,18,24,restrictive,3,0.0,0.3333,-0.3333,False
subject-4,19,36,restrictive,3,0.0,0.0,0.0,True
subject-4,20,20,restrictive,3,0.0,0.0,0.0,True
subject-4,21,13,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,22,9,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,23,5,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,24,17,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,25,31,non-restrictive,2,1.0,0.0,1.0,False
subject-4,27,4,restrictive,3,1.0,0.0,1.0,False
subject-4,28,2,restrictive,1,0.0,0.0,0.0,True
subject-4,29,7,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-4,30,48,restrictive,3,0.0,0.0,0.0,True
subject-4,31,11,non-restrictive,2,0.0,0.0,0.0,True
subject-4,32,19,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-4,33,46,restrictive,1,0.0,0.3333,-0.3333,False
subject-4,34,22,restrictive,1,0.0,0.0,0.0,True
subject-4,35,8,restrictive,3,1.0,0.0,1.0,False
subject-4,36,1,non-restrictive,4,0.0,0.0,0.0,True
subject-4,37,43,non-restrictive,2,0.0,0.3333,-0.3333,False
subject-4,38,32,restrictive,3,1.0,0.0,1.0,False
subject-4,39,37,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,40,26,restrictive,1,0.0,0.3333,-0.3333,False
subject-4,41,49,non-restrictive,4,0.0,0.0,0.0,True
subject-4,42,3,non-restrictive,2,0.0,0.0,0.0,True
subject-4,43,6,restrictive,1,0.0,0.3333,-0.3333,False
subject-4,44,42,restrictive,1,0.0,0.3333,-0.3333,False
subject-4,45,25,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,46,21,non-restrictive,4,0.0,0.3333,-0.3333,False
subject-4,47,28,restrictive,3,0.0,0.0,0.0,True
subject-4,48,14,restrictive,1,0.0,0.0,0.0,True
subject-4,49,44,restrictive,3,1.0,0.0,1.0,False
subject-5,0,36,non-restrictive,3,0.0,0.0,0.0,True
subject-5,1,0,non-restrictive,3,0.0,0.0,0.0,True
subject-5,2,6,non-restrictive,1,0.0,0.0,0.0,True
subject-5,3,2,non-restrictive,1,0.0,0.0,0.0,True
subject-5,4,34,non-restrictive,1,0.0,0.0,0.0,True
subject-5,5,46,non-restrictive,1,0.0,0.0,0.0,True
subject-5,6,29,restrictive,4,0.0,0.0,0.0,True
subject-5,7,47,restrictive,2,0.0,0.3333,-0.3333,False
subject-5,8,30,non-restrictive,1,0.0,0.3333,-0.3333,False
subject-5,9,49,restrictive,4,0.0,0.0,0.0,True
subject-5,10,38,non-restrictive,1,0.0,0.0,0.0,True
subject-5,11,10,non-restrictive,1,0.0,0.0,0.0,True
subject-5,12,37,restrictive,4,0.0,0.0,0.0,True
subject-5,13,24,non-restrictive,3,1.0,0.0,1.0,False
subject-5,14,7,restrictive,2,0.0,0.3333,-0.3333,False
subject-5,15,26,non-restrictive,1,0.0,0.3333,-0.3333,False
subject-5,16,22,non-restrictive,1,0.0,0.0,0.0,True
subject-5,17,1,restrictive,4,1.0,0.0,1.0,False
subject-5,18,15,restrictive,2,0.0,0.3333,-0.3333,False
subject-5,19,14,non-restrictive,1,0.0,0.0,0.0,True
subject-5,20,27,restrictive,2,0.0,0.0,0.0,True
subject-5,21,32,non-restrictive,3,0.0,0.0,0.0,True
subject-5,22,13,restrictive,4,0.0,0.0,0.0,True
subject-5,23,33,restrictive,4,0.0965,0.3012,-0.2047,False
subject-5,24,11,restrictive,2,0.0,0.0,0.0,True
subject-5,25,25,restrictive,4,0.0,0.3333,-0.3333,False
subject-5,26,9,restrictive,4,0.0,0.3333,-0.3333,False
subject-5,27,8,non-restrictive,3,0.0,0.0,0.0,True
subject-5,28,21,restrictive,4,0.0,0.3333,-0.3333,False
subject-5,29,43,restrictive,2,0.0,0.0,0.0,True
subject-5,30,44,non-restrictive,3,0.5686,0.1438,0.4249,False
subject-5,31,19,restrictive,2,0.0548,0.3151,-0.2603,False
subject-5,32,39,restrictive,2,0.0,0.0,0.0,True
subject-5,33,35,restrictive,2,0.0546,0.3151,-0.2605,False
subject-5,34,16,non-restrictive,3,0.0,0.0,0.0,True
subject-5,35,31,restrictive,2,0.0,0.3333,-0.3333,False
subject-5,36,23,restrictive,2,1.0,0.0,1.0,False
subject-5,37,12,non-restrictive,3,1.0,0.0,1.0,False
subject-5,38,4,non-restrictive,3,0.0,0.3333,-0.3333,False
subject-5,39,18,non-restrictive,1,0.0,0.0,0.0,True
subject-5,40,3,restrictive,2,1.0,0.0,1.0,False
subject-5,41,28,non-restrictive,3,0.0,0.0,0.0,True
subject-5,42,42,non-restrictive,1,1.0,0.0,1.0,False
subject-5,43,20,non-restrictive,3,0.0,0.0,0.0,True
subject-5,44,5,restrictive,4,0.0,0.3333,-0.3333,False
subject-5,45,48,non-restrictive,3,1.0,0.0,1.0,False
subject-5,46,17,restrictive,4,0.0,0.0,0.0,True
subject-5,47,40,non-restrictive,3,0.0,0.0,0.0,True
subject-5,48,41,restrictive,4,0.0,0.3333,-0.3333,False
subject-5,49,45,restrictive,4,0.0,0.0,0.0,True
