item	condition	subject_id	chosen_object	first_saccade_landing_aoi
44	restrictive	subject-17	bolt	pos2
19	non-restrictive	subject-17		elsewhere
17	non-restrictive	subject-17	ribbon	pos4
15	restrictive	subject-18		
23	restrictive	subject-18		
5	restrictive	subject-18		
40	non-restrictive	subject-18		
20	non-restrictive	subject-18		
13	restrictive	subject-18		
33	restrictive	subject-18		
29	restrictive	subject-18		elsewhere
46	non-restrictive	subject-18		
16	non-restrictive	subject-18		subject
42	non-restrictive	subject-18		
26	non-restrictive	subject-18		
45	restrictive	subject-18		
50	non-restrictive	subject-18	stamp	pos3
2	non-restrictive	subject-18		
47	restrictive	subject-18		
22	non-restrictive	subject-18		
11	restrictive	subject-18		subject
9	restrictive	subject-18		
27	restrictive	subject-18		
28	non-restrictive	subject-18		
6	non-restrictive	subject-18		
18	non-restrictive	subject-18		
1	restrictive	subject-18		
43	restrictive	subject-18		
30	non-restrictive	subject-18		elsewhere
41	restrictive	subject-18		
19	restrictive	subject-18		
37	restrictive	subject-18		
12	non-restrictive	subject-18		
34	non-restrictive	subject-18		
31	restrictive	subject-18		
48	non-restrictive	subject-18		
38	non-restrictive	subject-18		
4	non-restrictive	subject-18		
7	restrictive	subject-18		
39	restrictive	subject-18		subject
44	non-restrictive	subject-18		
10	non-restrictive	subject-18		
3	restrictive	subject-18		
14	non-restrictive	subject-18		subject
8	non-restrictive	subject-18		
17	restrictive	subject-18		
49	restrictive	subject-18		
24	non-restrictive	subject-18		subject
25	restrictive	subject-18		
36	non-restrictive	subject-18		subject
32	non-restrictive	subject-18		
21	restrictive	subject-18		
49	non-restrictive	subject-19		
32	restrictive	subject-19		
24	restrictive	subject-19		
41	non-restrictive	subject-19		
37	non-restrictive	subject-19		subject
36	restrictive	subject-19		subject
34	restrictive	subject-19		elsewhere
38	restrictive	subject-19		
45	non-restrictive	subject-19	dough	pos2
6	restrictive	subject-19	mountain	pos3
28	restrictive	subject-19		
30	restrictive	subject-19		
18	restrictive	subject-19		
7	non-restrictive	subject-19		
12	restrictive	subject-19		
21	non-restrictive	subject-19		
43	non-restrictive	subject-19		subject
47	non-restrictive	subject-19	bow	pos1
17	non-restrictive	subject-19		
20	restrictive	subject-19		
19	non-restrictive	subject-19		
42	restrictive	subject-19		subject
40	restrictive	subject-19		
5	non-restrictive	subject-19		
23	non-restrictive	subject-19		
16	restrictive	subject-19		
14	restrictive	subject-19	cigarettes	pos3
13	non-restrictive	subject-19		subject
46	restrictive	subject-19		subject
27	non-restrictive	subject-19		subject
26	restrictive	subject-19		
39	non-restrictive	subject-19	apron	pos4
4	restrictive	subject-19		
3	non-restrictive	subject-19		
35	non-restrictive	subject-19		
48	restrictive	subject-19		subject
11	non-restrictive	subject-19		
2	restrictive	subject-19		subject
22	restrictive	subject-19		
31	non-restrictive	subject-19		subject
29	non-restrictive	subject-19		
33	non-restrictive	subject-19		elsewhere
25	non-restrictive	subject-19		
10	restrictive	subject-19		
9	non-restrictive	subject-19		
50	restrictive	subject-19		
15	non-restrictive	subject-19		subject
1	non-restrictive	subject-19		subject
8	restrictive	subject-19		
44	restrictive	subject-19		
49	non-restrictive	subject-19		
32	restrictive	subject-19		
24	restrictive	subject-19		
41	non-restrictive	subject-19		
37	non-restrictive	subject-19		subject
36	restrictive	subject-19		subject
34	restrictive	subject-19		elsewhere
38	restrictive	subject-19		
45	non-restrictive	subject-19	dough	pos2
6	restrictive	subject-19	mountain	pos3
28	restrictive	subject-19		
30	restrictive	subject-19		
18	restrictive	subject-19		
7	non-restrictive	subject-19		
12	restrictive	subject-19		
21	non-restrictive	subject-19		
43	non-restrictive	subject-19		subject
47	non-restrictive	subject-19	bow	pos1
17	non-restrictive	subject-19		
20	restrictive	subject-19		
19	non-restrictive	subject-19		
42	restrictive	subject-19		subject
40	restrictive	subject-19		
5	non-restrictive	subject-19		
23	non-restrictive	subject-19		
16	restrictive	subject-19		
14	restrictive	subject-19	cigarettes	pos3
13	non-restrictive	subject-19		subject
46	restrictive	subject-19		subject
27	non-restrictive	subject-19		subject
26	restrictive	subject-19		
39	non-restrictive	subject-19	apron	pos4
4	restrictive	subject-19		
3	non-restrictive	subject-19		
35	non-restrictive	subject-19		
48	restrictive	subject-19		subject
11	non-restrictive	subject-19		
2	restrictive	subject-19		subject
22	restrictive	subject-19		
31	non-restrictive	subject-19		subject
29	non-restrictive	subject-19		
33	non-restrictive	subject-19		elsewhere
25	non-restrictive	subject-19		
10	restrictive	subject-19		
9	non-restrictive	subject-19		
50	restrictive	subject-19		
15	non-restrictive	subject-19		subject
1	non-restrictive	subject-19		subject
8	restrictive	subject-19		
44	restrictive	subject-19		
22	non-restrictive	subject-2		
37	restrictive	subject-2		
6	non-restrictive	subject-2		
4	non-restrictive	subject-2		
42	non-restrictive	subject-2		
47	restrictive	subject-2		
23	restrictive	subject-2		
38	non-restrictive	subject-2		
45	restrictive	subject-2		
10	non-restrictive	subject-2		
18	non-restrictive	subject-2		elsewhere
41	restrictive	subject-2		elsewhere
32	non-restrictive	subject-2		elsewhere
49	restrictive	subject-2		
48	non-restrictive	subject-2		subject
24	non-restrictive	subject-2		
12	non-restrictive	subject-2		
