subject_nr,trial,condition,sentence_id,word_index,WordRole,word,start_s,end_s,window_ms,prop_pos1,prop_pos2,prop_pos3,prop_pos4,prop_target,prop_subject,no_object_gaze,n_samples
1,18,non-restrictive,16,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6
1,18,non-restrictive,16,1,nsubj,woman,0.189,0.525,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,26
1,18,non-restrictive,16,2,aux,will,0.63,0.756,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,17
1,18,non-restrictive,16,3,ROOT,carry,0.861,1.239,378.0,0.0,1.0,0.0,0.0,0.0,0.0,False,14
1,18,non-restrictive,16,4,det,the,1.344,1.428,84.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,18,non-restrictive,16,5,dobj,dress,1.533,2.814,1281.0,0.0,0.057143,0.885714,0.057143,0.0,0.416667,False,183
1,19,non-restrictive,24,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
1,19,non-restrictive,24,1,nsubj,girl,0.168,0.525,357.0,0.0,1.0,0.0,0.0,0.0,0.0,False,5
1,19,non-restrictive,24,2,aux,will,0.651,0.798,147.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8
1,19,non-restrictive,24,3,ROOT,lift,0.924,1.218,294.0,0.0,0.0,0.0,0.0,0.0,0.0,True,28
1,19,non-restrictive,24,4,det,the,1.323,1.386,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,19,non-restrictive,24,5,dobj,rabbit,1.512,2.793,1281.0,0.0,0.0,0.0,0.0,0.0,1.0,True,117
1,20,non-restrictive,20,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,20,non-restrictive,20,1,nsubj,baby,0.168,0.525,357.0,0.0,0.857143,0.142857,0.0,0.0,0.0,False,26
1,20,non-restrictive,20,2,aux,will,0.735,0.861,126.0,0.0,1.0,0.0,0.0,0.0,0.0,False,10
1,20,non-restrictive,20,3,ROOT,grab,0.945,1.344,399.0,0.0,1.0,0.0,0.0,0.0,0.0,False,39
1,20,non-restrictive,20,4,det,the,1.47,1.533,63.0,0.0,1.0,0.0,0.0,0.0,0.0,False,2
1,20,non-restrictive,20,5,dobj,kitten,1.617,2.982,1365.0,0.0,1.0,0.0,0.0,0.0,0.0,False,139
1,21,restrictive,27,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,21,restrictive,27,1,nsubj,boy,0.147,0.42,273.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
