FPOGID,FPOGX,FPOGY,FPOGS,FPOGD,fix_end_s,clip_start_s,clip_end_s,clip_dur_ms,aoi,trial,condition,subject_nr,target_word,target_position
12702,0.495177,0.3185225,7399.32129,0.10742,7399.42871,7399.32129,7399.38801,66.71999999980471,subject,31,non-restrictive,6,canvas,4
12735,0.20806588235294116,0.3782188235294117,7407.62744,0.22119,7407.84863,7407.66289,7407.84863,185.7400000008056,pos4,32,non-restrictive,6,beer,3
12736,0.20422826086956522,0.4675417391304348,7407.85498,0.14746,7408.00244,7407.85498,7407.95689,101.91000000031636,pos4,32,non-restrictive,6,beer,3
12762,0.4737537209302326,0.2322739534883721,7415.29688,0.28125,7415.57813,7415.52762,7415.57813,50.51000000003114,subject,33,restrictive,6,scarf,2
12763,0.49789606060606056,0.18503757575757573,7415.58496,0.21436,7415.79932,7415.58496,7415.79932,214.35999999994237,subject,33,restrictive,6,scarf,2
12818,0.5080753968253968,0.20892444444444444,7433.42871,0.37549,7433.8042000000005,7433.6384499999995,7433.8042000000005,165.7500000010259,subject,35,non-restrictive,6,shoelace,2
12819,0.628023076923077,0.7678107692307693,7433.85107,0.08008,7433.931149999999,7433.85107,7433.86945,18.380000000433938,pos2,35,non-restrictive,6,shoelace,2
12854,0.3114668888888889,0.5307722222222222,7441.94922,0.29395,7442.243170000001,7441.960239999999,7442.21224,252.00000000040745,elsewhere,36,non-restrictive,6,milk,3
12883,0.4747818181818182,0.6629645454545454,7452.31104,0.12061,7452.4316499999995,7452.31816,7452.4316499999995,113.48999999972875,elsewhere,37,restrictive,6,dress,3
12884,0.6425435294117647,0.6104461764705882,7452.4585,0.22119,7452.67969,7452.4585,7452.59116,132.6600000002145,elsewhere,37,restrictive,6,dress,3
12913,0.23337923076923076,0.6508284615384615,7460.67725,0.16748,7460.84473,7460.82061,7460.84473,24.120000000039,elsewhere,38,non-restrictive,6,lego,3
12914,0.282465,0.6625014285714286,7460.85156,0.18066,7461.03222,7460.85156,7461.03222,180.65999999998894,elsewhere,38,non-restrictive,6,lego,3
