,stimuliId,condition,obj,avg_percent,n_participants
206,26,restrictive,peach,0.49019607843137253,3
207,26,restrictive,rope,0.0,3
208,27,non-restrictive,candle,0.0,3
209,27,non-restrictive,coaster,0.2971014492753623,3
210,27,non-restrictive,coin,0.036231884057971,3
211,27,non-restrictive,package,0.0,3
212,27,restrictive,candle,0.0,2
213,27,restrictive,coaster,0.234375,2
214,27,restrictive,coin,0.265625,2
215,27,restrictive,package,0.0,2
216,28,non-restrictive,frame,0.5,2
217,28,non-restrictive,lamp,0.0,2
218,28,non-restrictive,picture,0.5,2
219,28,non-restrictive,switch,0.0,2
220,28,restrictive,frame,0.0,3
221,28,restrictive,lamp,0.3333333333333333,3
222,28,restrictive,picture,0.0,3
223,28,restrictive,switch,0.0,3
224,29,non-restrictive,glove,0.0,3
225,29,non-restrictive,milk,0.0,3
226,29,non-restrictive,nut,0.0,3
227,29,non-restrictive,sock,0.0,3
228,29,restrictive,glove,0.0,2
229,29,restrictive,milk,0.0,2
230,29,restrictive,nut,0.0,2
231,29,restrictive,sock,0.0,2
232,30,non-restrictive,comb,0.0,2
233,30,non-restrictive,eraser,0.0,2
234,30,non-restrictive,newspaper,0.0,2
235,30,non-restrictive,tissue,0.0,2
236,30,restrictive,comb,0.0,3
237,30,restrictive,eraser,0.0,3
238,30,restrictive,newspaper,0.3333333333333333,3
239,30,restrictive,tissue,0.0,3
240,31,non-restrictive,cap,0.2965367965367965,3
241,31,non-restrictive,dice,0.0,3
242,31,non-restrictive,headphones,0.0,3
243,31,non-restrictive,watch,0.3701298701298701,3
244,31,restrictive,cap,0.0,2
245,31,restrictive,dice,0.0,2
246,31,restrictive,headphones,0.3382352941176471,2
247,31,restrictive,watch,0.16176470588235295,2
248,32,non-restrictive,bottle,0.5,2
249,32,non-restrictive,lemon,0.0,2
250,32,non-restrictive,seed,0.0,2
251,32,non-restrictive,sponge,0.0,2
252,32,restrictive,bottle,0.0,3
253,32,restrictive,lemon,0.049999999999999996,3
254,32,restrictive,seed,0.0,3
255,32,restrictive,sponge,0.2833333333333333,3
256,33,non-restrictive,beer,0.11627906976744186,3
257,33,non-restrictive,biscuit,0.04651162790697674,3
258,33,non-restrictive,kettle,0.0,3
259,33,non-restrictive,mug,0.17054263565891473,3
260,33,restrictive,beer,0.5,2
261,33,restrictive,biscuit,0.0,2
262,33,restrictive,kettle,0.0,2
263,33,restrictive,mug,0.0,2
264,34,non-restrictive,box,0.0,2
265,34,non-restrictive,envelope,0.0,2
266,34,non-restrictive,gift,0.5,2
267,34,non-restrictive,suitcase,0.0,2
268,34,restrictive,box,0.0,3
269,34,restrictive,envelope,0.0,3
270,34,restrictive,gift,0.6410256410256411,3
271,34,restrictive,suitcase,0.025641025641025633,3
272,35,non-restrictive,notebook,0.0,3
273,35,non-restrictive,pillow,0.0,3
274,35,non-restrictive,puzzle,0.3333333333333333,3
275,35,non-restrictive,radio,0.0,3
276,35,restrictive,notebook,0.6891891891891893,2
277,35,restrictive,pillow,0.14414414414414414,2
278,35,restrictive,puzzle,0.1306306306306306,2
279,35,restrictive,radio,0.036036036036036,2
280,36,non-restrictive,brush,0.25826612903225804,2
281,36,non-restrictive,mascara,0.43548387096774194,2
282,36,non-restrictive,mirror,0.14375,2
283,36,non-restrictive,pot,0.1625,2
284,36,restrictive,brush,0.0588235294117647,3
285,36,restrictive,mascara,0.35294117647058826,3
286,36,restrictive,mirror,0.07843137254901959,3
287,36,restrictive,pot,0.17647058823529413,3
288,37,non-restrictive,boxes,0.3333333333333333,3
289,37,non-restrictive,clips,0.0,3
290,37,non-restrictive,lego,0.0,3
291,37,non-restrictive,papers,0.0,3
292,37,restrictive,boxes,0.0,2
293,37,restrictive,clips,0.0,2
294,37,restrictive,lego,0.0,2
295,37,restrictive,papers,0.0,2
296,38,non-restrictive,banana,0.0,2
297,38,non-restrictive,key,0.5,2
298,38,non-restrictive,marker,0.0,2
299,38,non-restrictive,mitten,0.5,2
300,38,restrictive,banana,0.0,3
301,38,restrictive,key,0.0,3
302,38,restrictive,marker,0.0,3
303,38,restrictive,mitten,0.0,3
304,39,non-restrictive,apron,0.0,3
305,39,non-restrictive,broom,0.1921921921921922,3
306,39,non-restrictive,cloth,0.08408408408408406,3
307,39,non-restrictive,mop,0.05705705705705703,3
308,39,restrictive,apron,0.41935483870967744,2
309,39,restrictive,broom,0.0,2
310,39,restrictive,cloth,0.0,2
311,39,restrictive,mop,0.08064516129032255,2
312,40,non-restrictive,buckle,0.0,2
313,40,non-restrictive,mat,0.0,2
314,40,non-restrictive,shampoo,0.5,2
315,40,non-restrictive,shoelace,0.0,2
316,40,restrictive,buckle,0.0,3
317,40,restrictive,mat,0.0,3
318,40,restrictive,shampoo,0.0,3
319,40,restrictive,shoelace,0.0,3
320,41,non-restrictive,blouse,0.3333333333333333,3
321,41,non-restrictive,iron,0.0,3
322,41,non-restrictive,pin,0.0,3
323,41,non-restrictive,toothbrish,0.0,3
324,41,restrictive,blouse,0.0,2
325,41,restrictive,iron,0.0,2
326,41,restrictive,pin,0.0,2
327,41,restrictive,toothbrish,0.5,2
328,42,non-restrictive,cone,0.0,2
329,42,non-restrictive,orange,0.0,2
330,42,non-restrictive,shell,0.0,2
331,42,non-restrictive,stone,0.0,2
332,42,restrictive,cone,0.0,3
333,42,restrictive,orange,0.3782051282051282,3
334,42,restrictive,shell,0.2884615384615385,3
335,42,restrictive,stone,0.3333333333333333,3
336,43,non-restrictive,apple,0.0,3
337,43,non-restrictive,chalk,0.05426356589147286,3
338,43,non-restrictive,ruler,0.2635658914728682,3
339,43,non-restrictive,shirt,0.34883720930232553,3
340,43,restrictive,apple,0.5,2
341,43,restrictive,chalk,0.0,2
342,43,restrictive,ruler,0.0,2
343,43,restrictive,shirt,0.0,2
344,44,non-restrictive,bolt,0.0,2
345,44,non-restrictive,handle,0.5,2
346,44,non-restrictive,pan,0.0,2
347,44,non-restrictive,safe,0.0,2
348,44,restrictive,bolt,0.0,3
349,44,restrictive,handle,0.0,3
350,44,restrictive,pan,0.0,3
351,44,restrictive,safe,0.0,3
352,45,non-restrictive,dough,0.21739130434782608,3
353,45,non-restrictive,glass,0.0,3
354,45,non-restrictive,hammer,0.11594202898550722,3
355,45,non-restrictive,ladle,0.0,3
356,45,restrictive,dough,0.5,2
357,45,restrictive,glass,0.0,2
358,45,restrictive,hammer,0.0,2
359,45,restrictive,ladle,0.0,2
360,46,non-restrictive,carrot,0.0,2
361,46,non-restrictive,laddle,0.0,2
362,46,non-restrictive,peeler,0.0,2
363,46,non-restrictive,pot,0.0,2
364,46,restrictive,carrot,0.3333333333333333,3
365,46,restrictive,laddle,0.0,3
366,46,restrictive,peeler,0.0,3
367,46,restrictive,pot,0.0,3
368,47,non-restrictive,bow,0.0,3
369,47,non-restrictive,gum,0.0,3
370,47,non-restrictive,stand,0.0,3
371,47,non-restrictive,violin,0.6666666666666666,3
372,47,restrictive,bow,0.0543478260869565,2
373,47,restrictive,gum,0.32608695652173914,2
374,47,restrictive,stand,0.11956521739130435,2
375,47,restrictive,violin,0.0,2
376,48,non-restrictive,carpet,0.0,2
377,48,non-restrictive,dustpan,0.0,2
378,48,non-restrictive,footstool,0.0,2
379,48,non-restrictive,roller,0.0,2
380,48,restrictive,carpet,0.3333333333333333,3
381,48,restrictive,dustpan,0.3333333333333333,3
382,48,restrictive,footstool,0.0,3
383,48,restrictive,roller,0.0,3
