id,word,SentenceRole,WordRole,start,end,sentence
19,the,restrictive,det,1.68,1.743,The chef will slice the bread
19,bread,restrictive,dobj,1.827,2.94,The chef will slice the bread
19,The,non-restrictive,det,0.462,0.504,The chef will clean the bread
19,chef,non-restrictive,nsubj,0.693,0.945,The chef will clean the bread
19,will,non-restrictive,aux,1.071,1.197,The chef will clean the bread
19,clean,non-restrictive,ROOT,1.26,1.575,The chef will clean the bread
19,the,non-restrictive,det,1.638,1.701,The chef will clean the bread
19,bread,non-restrictive,dobj,1.785,2.877,The chef will clean the bread
20,The,restrictive,det,0.462,0.525,The baby will hug the kitten
20,baby,restrictive,nsubj,0.651,0.987,The baby will hug the kitten
20,will,restrictive,aux,1.218,1.344,The baby will hug the kitten
20,hug,restrictive,ROOT,1.47,1.617,The baby will hug the kitten
20,the,restrictive,det,1.764,1.827,The baby will hug the kitten
20,kitten,restrictive,dobj,1.932,3.171,The baby will hug the kitten
20,The,non-restrictive,det,0.483,0.546,The baby will grab the kitten
20,baby,non-restrictive,nsubj,0.672,1.029,The baby will grab the kitten
20,will,non-restrictive,aux,1.197,1.323,The baby will grab the kitten
20,grab,non-restrictive,ROOT,1.407,1.764,The baby will grab the kitten
20,the,non-restrictive,det,1.848,1.89,The baby will grab the kitten
20,kitten,non-restrictive,dobj,1.974,3.255,The baby will grab the kitten
21,The,restrictive,det,0.462,0.525,The woman will water the flower
21,woman,restrictive,nsubj,0.651,0.987,The woman will water the flower
21,will,restrictive,aux,1.176,1.323,The woman will water the flower
21,water,restrictive,ROOT,1.47,1.827,The woman will water the flower
21,the,restrictive,det,1.932,1.995,The woman will water the flower
21,flower,restrictive,dobj,2.1,3.381,The woman will water the flower
21,The,non-restrictive,det,0.462,0.525,The woman will move the flower
21,woman,non-restrictive,nsubj,0.651,0.987,The woman will move the flower
21,will,non-restrictive,aux,1.134,1.26,The woman will move the flower
21,move,non-restrictive,ROOT,1.344,1.596,The woman will move the flower
21,the,non-restrictive,det,1.68,1.722,The woman will move the flower
21,flower,non-restrictive,dobj,1.848,3.087,The woman will move the flower
22,The,restrictive,det,0.483,0.546,The girl will zip the coat
22,girl,restrictive,nsubj,0.651,0.987,The girl will zip the coat
22,will,restrictive,aux,1.092,1.218,The girl will zip the coat
22,zip,restrictive,ROOT,1.344,1.554,The girl will zip the coat
22,the,restrictive,det,1.68,1.743,The girl will zip the coat
22,coat,restrictive,dobj,1.806,2.94,The girl will zip the coat
22,The,non-restrictive,det,0.441,0.504,The girl will hang the coat
22,girl,non-restrictive,nsubj,0.63,0.966,The girl will hang the coat
22,will,non-restrictive,aux,1.092,1.218,The girl will hang the coat
22,hang,non-restrictive,ROOT,1.344,1.575,The girl will hang the coat
22,the,non-restrictive,det,1.638,1.68,The girl will hang the coat
22,coat,non-restrictive,dobj,1.764,2.877,The girl will hang the coat
23,The,restrictive,det,0.462,0.525,The girl will knit the scarf
23,girl,restrictive,nsubj,0.63,0.966,The girl will knit the scarf
23,will,restrictive,aux,1.05,1.197,The girl will knit the scarf
23,knit,restrictive,ROOT,1.281,1.47,The girl will knit the scarf
23,the,restrictive,det,1.575,1.617,The girl will knit the scarf
23,scarf,restrictive,dobj,1.743,2.898,The girl will knit the scarf
23,The,non-restrictive,det,0.462,0.525,The girl will hold the scarf
23,girl,non-restrictive,nsubj,0.63,0.966,The girl will hold the scarf
23,will,non-restrictive,aux,1.092,1.218,The girl will hold the scarf
23,hold,non-restrictive,ROOT,1.344,1.596,The girl will hold the scarf
23,the,non-restrictive,det,1.68,1.722,The girl will hold the scarf
23,scarf,non-restrictive,dobj,1.848,3.045,The girl will hold the scarf
24,The,restrictive,det,0.462,0.525,The girl will groom the rabbit
24,girl,restrictive,nsubj,0.63,0.966,The girl will groom the rabbit
24,will,restrictive,aux,1.092,1.218,The girl will groom the rabbit
24,groom,restrictive,ROOT,1.344,1.68,The girl will groom the rabbit
24,the,restrictive,det,1.764,1.827,The girl will groom the rabbit
24,rabbit,restrictive,dobj,1.953,3.108,The girl will groom the rabbit
24,The,non-restrictive,det,0.462,0.525,The girl will lift the rabbit
24,girl,non-restrictive,nsubj,0.63,0.966,The girl will lift the rabbit
24,will,non-restrictive,aux,1.092,1.218,The girl will lift the rabbit
24,lift,non-restrictive,ROOT,1.344,1.617,The girl will lift the rabbit
24,the,non-restrictive,det,1.701,1.764,The girl will lift the rabbit
